RecordedDate,QualtricsResponseID,Q10,Q12,Q3,Q11
3/31/21 17:12,R_1KcC4m1TwAf5ELv,5,4,5,3
3/31/21 17:13,R_3e8nPTDG5kzxKm5,2,2,4,
3/31/21 17:14,R_231v8w4nMHPBnv4,2,1,3,
3/31/21 17:14,R_21G3iq1J1vkZHwj,4,3,4,3
3/31/21 17:15,R_2e3UTJzxKlpbPIT,4,3,5,0
3/31/21 17:16,R_1QWg3WygKw2JOH7,4,4,2,3
3/31/21 17:17,R_5bf0xRnUsjNjYGZ,2,2,7,3
3/31/21 17:17,R_3RvI3RQsKPD6Qh6,3,2,3,4
3/31/21 17:17,R_3nTcsoqhtIWTzHl,4,3,2,2.5
3/31/21 17:18,R_22RnVK3wVSFYJc4,2,3,6,3
3/31/21 17:19,R_02itIaQYXd1UP4Z,2,3,6,3
3/31/21 17:19,R_24vHeMpFxPmFayB,4,3,3,3
3/31/21 17:20,R_2QhscvzVQvs2TiT,4,3,3,3
3/31/21 17:22,R_2ealmCrODmox8hi,4,3,6,3
3/31/21 17:22,R_50T0QGzLuGmOWFb,3,3,5,-0.5
3/31/21 17:22,R_2EyklyZuMy8VCsh,4,3,5,
3/31/21 17:23,R_214xmFTLFfs635d,5,4,5,-1
3/31/21 17:24,R_DV0eWds9kQHk0Xn,4,3,2,1
3/31/21 17:24,R_1l3JMVtHRnlyRsc,2,1,6,2
3/31/21 17:25,R_1Izz7KsY5sP1UJy,2,3,5,4
3/31/21 17:29,R_3dDQN1MpLlVxfSu,5,6,5,3
3/31/21 17:30,R_1pyZ8KvBhLm2nB3,3,3,3,3
3/31/21 17:32,R_3M9a3if8l0hwG81,1,2,4,
3/31/21 17:32,R_2PdoLluGKgz75nB,1,3,5,3
3/31/21 17:34,R_2qe2HiL4VaiXTCS,3,3,5,3
3/31/21 17:37,R_6QZaph4XUG0nE9r,4,4,4,3
3/31/21 17:43,R_Z4eMiQcHjyFPgtP,3,3,5,0
3/31/21 17:50,R_Xti3aKSEJ5jtipP,4,3,5,2
3/31/21 17:55,R_10VhxEiap3vKc2D,3,4,6,3
3/31/21 18:03,R_1f16uHTfKh49Fog,3,3,4,10
3/31/21 18:05,R_2s1LeMgdg8J7kpw,1,1,2,
3/31/21 18:05,R_2zkAiTH5469L6Ra,2,4,5,
3/31/21 18:10,R_2B2lMwBMgPVKkf5,3,3,4,2
3/31/21 18:10,R_1n0c4Qrlx3B8Ho5,2,2,5,
3/31/21 18:29,R_0vVa4gZifFN1AtP,4,6,5,3
3/31/21 18:36,R_3QWYnxElkmxqebM,3,2,2,3
3/31/21 18:43,R_sdQoIVFJRFWl9bb,1,1,5,0
3/31/21 18:44,R_2pY5e65QXUQlTli,2,4,5,3
3/31/21 18:45,R_vlB5n8wdcy9j7FL,4,2,5,3
3/31/21 18:50,R_1LohSKyHsRGdEse,1,3,4,3
3/31/21 18:53,R_1pW36JK4AWqgyjw,2,3,5,3
3/31/21 19:04,R_3NJiygVB6P8dPVv,4,3,5,
3/31/21 19:19,R_1Kfovc3xETbFQXp,4,6,2,3
3/31/21 19:26,R_1eK3s4UI80Lif0Q,4,4,5,3
3/31/21 19:31,R_22Vo7m0lI3PHOwe,1,2,5,
3/31/21 19:41,R_1LoFGlJav6HR4aX,4,3,7,3
3/31/21 19:50,R_2EtT7VWRySkgBFJ,3,3,5,3
3/31/21 19:50,R_2rHmGGkkAL2tBD6,4,4,3,3
3/31/21 19:57,R_2BezbVvpLC50hQQ,2,3,4,3
3/31/21 20:13,R_elmL6577RNKbN29,2,3,5,3
3/31/21 20:25,R_3esJmVEFbGbvMlx,3,4,5,2
3/31/21 20:34,R_2QtzYXC4Ueefut5,4,3,5,3
3/31/21 20:38,R_1EXbTAhbsEijt3C,4,3,5,3
3/31/21 20:49,R_1j7WbYpcM915RoG,3,3,6,3
3/31/21 21:11,R_2B3AFsmdMRScgMw,4,3,5,3
3/31/21 21:30,R_2zIkIDvL20yQcYR,5,6,5,3
3/31/21 21:42,R_3M9fJnUwHqVM2pp,5,6,7,3
3/31/21 21:45,R_1qfcBoQqdrLEbK9,3,3,3,0
3/31/21 22:01,R_32IMPCkT01abOVT,1,3,5,
3/31/21 22:04,R_3D2wWDvTqhMenwP,1,2,5,
3/31/21 22:55,R_SN279dOZXTRrf9L,4,4,5,3
3/31/21 23:09,R_24Mf1SEPEzCkTsi,3,2,6,3
3/31/21 23:59,R_2ZHVOkaY7uBASQU,4,4,4,3
4/1/21 0:01,R_bq2FJP0MwAZBTe9,3,3,5,3
4/1/21 0:16,R_2EctpgGacV00kBK,5,3,4,0.5
4/1/21 0:22,R_1IW2eE9a9yBSfWp,3,3,4,-3
4/1/21 0:54,R_3q9gLyh3oP3EH2I,1,2,5,3
4/1/21 1:59,R_1gNKuvTlyXVUS7V,4,4,5,
4/1/21 2:10,R_1cTylrio4312cKu,4,4,5,1
4/1/21 2:30,R_D2lgmE6ezS05SUN,5,6,5,-0.5
4/1/21 5:21,R_29aAAMrtMw7qWF3,1,3,5,
4/1/21 6:30,R_Yb2BfwkoAKbSPGV,5,4,4,3
4/1/21 6:42,R_2zkdfIMVzPyjKMo,4,4,7,3
4/1/21 6:56,R_TvVyMnXNPwBaqQN,1,1,1,3
4/1/21 7:00,R_28NFcbAL5SB9cHC,5,6,5,3
4/1/21 7:16,R_1IsCpoVYgdlmnnI,5,4,7,-0.5
4/1/21 7:23,R_297bM3jc0CtAZVT,3,4,7,3
4/1/21 7:32,R_bf1RKY9BilIxfWh,3,2,4,0.5
4/1/21 8:02,R_11irNbCBteXAQub,3,4,6,3
4/1/21 8:05,R_2tyTkx0IuqvyVB7,3,3,5,3
4/1/21 8:12,R_2WHKfqsfwzxqgnX,4,3,4,3
4/1/21 9:35,R_3MAPGAfI6q5AC16,2,4,2,3
4/1/21 9:37,R_2fg6hTS5KkmKOYN,4,3,4,-1
4/1/21 9:45,R_2YIXNhnkhZxci4U,4,4,6,0.5
4/1/21 9:58,R_3MS9ryN9SEUX6tz,2,4,3,
4/1/21 10:05,R_12beFuzk4AON38n,2,2,4,
4/1/21 10:07,R_2cBGwnIJKGR4ZUy,1,2,7,3
4/1/21 10:42,R_2VkmsD9THXBsIHj,2,3,5,
4/1/21 11:04,R_Clt2gqpyIJ2Fjgd,1,3,5,3
4/1/21 11:30,R_1nTR8j5jNTekiXK,4,3,6,3
4/1/21 11:33,R_1KcA2t9OOs8b4Rt,1,3,2,
4/1/21 12:02,R_3p5aBrIjZxL70FD,2,3,4,2
4/1/21 12:33,R_23VOtu1kNmilI6U,4,3,5,
4/1/21 12:36,R_YbNESHOldFtG6Ot,2,3,6,3
4/1/21 12:53,R_YPwtgFJRV6MzcKR,4,2,5,3
4/1/21 13:03,R_PTjZuO1Bz9toIPT,4,2,2,3
4/1/21 13:33,R_1luHlFMNkVJsu48,4,6,2,3
4/1/21 13:53,R_Dr9OzV7QmFdf6Uh,4,4,3,2
4/1/21 14:00,R_WojJ5UI1o9qqyIh,2,2,3,
4/1/21 14:12,R_2tzzM6XYInHTvaq,2,2,5,
4/1/21 14:13,R_qEkQnckG1mL2fV7,5,4,5,3
4/1/21 14:20,R_2bZBk1T3NPP8sPh,4,3,7,3
4/1/21 14:25,R_2VIqQmtKQMorhkk,1,1,6,3
4/1/21 15:09,R_TctlA5uQSrjWcrT,4,4,5,3
4/1/21 15:54,R_3gXIFP6QVm22Y85,4,3,4,3
4/1/21 16:27,R_3KoyeRjoAon9bR1,5,6,5,3
4/1/21 17:04,R_3fVtBAfyzNzOdeW,2,2,5,
4/1/21 17:12,R_2AGVsPtqVYe0tgT,1,3,4,
4/1/21 17:13,R_umpdGIThJWb5TiN,4,6,7,15
4/1/21 17:13,R_1oItQusWp5bAmAZ,4,4,3,3
4/1/21 17:13,R_2xSsnxJJD8WroGa,4,4,4,3
4/1/21 17:14,R_1DZOJAnyGPKregZ,3,3,5,10
4/1/21 17:14,R_pREQI3TjCdGlRy9,4,4,2,3
4/1/21 17:15,R_3IZbsu4hhbmVizC,4,2,4,3
4/1/21 17:16,R_1IGXcr64UUKKBFw,4,3,6,-1
4/1/21 17:16,R_3qDvFFSBac3sEx7,1,3,2,3
4/1/21 17:16,R_3EGzJWlO4ca0Ssg,3,3,5,2
4/1/21 17:17,R_a2Z3RDMiewdZFXr,2,3,5,
4/1/21 17:17,R_5ig8iPzLn6SiZ4R,5,4,5,3
4/1/21 17:19,R_1FfEsQB4i5DmLig,3,3,5,3
4/1/21 17:19,R_D0Ia8TpLAx7DnqN,4,3,6,3
4/1/21 17:20,R_2fppHiWYIAwjqcs,2,3,6,
4/1/21 17:20,R_qWvT4XRY3EHcPvj,5,4,6,
4/1/21 17:21,R_rp3IYwcZRWf2MSZ,4,4,3,3
4/1/21 17:21,R_3s06j3ip3hzoVVa,2,3,5,3
4/1/21 17:23,R_2zOaQfMlmt7ARcO,4,4,7,3
4/1/21 17:23,R_3yiGCvN1ELUn6Nj,4,3,5,3
4/1/21 17:24,R_1CEgvotvSkjlFu9,4,4,5,3
4/1/21 17:24,R_3qEBrUQdbq8PZT5,1,1,5,3
4/1/21 17:26,R_PU1WxSHVxEvGKm5,3,3,4,3
4/1/21 17:27,R_00KYbpknxe4HPEd,2,4,5,3
4/1/21 17:28,R_1oFmGYE63JkC4Iy,4,3,5,
4/1/21 17:29,R_2YxkPKfBjxFgxbM,4,3,4,3
4/1/21 17:29,R_3W2YTIl7RgMg1pv,5,4,5,3
4/1/21 17:30,R_1liZLux5idpudpH,3,3,4,3
4/1/21 17:31,R_ClaKtwIesfaifsZ,5,6,5,
4/1/21 17:33,R_1OB3g3xTJQ7dRO3,3,3,5,
4/1/21 17:36,R_z1lEEH7okuqCmTn,4,3,5,3
4/1/21 17:36,R_1kZDlx2gB6ct6oZ,5,4,7,
4/1/21 17:40,R_25tI6yvasNrDbv4,5,6,6,3
4/1/21 17:43,R_1dAgb41ckCb1axt,5,4,6,3
4/1/21 17:44,R_Zh2wod7vrj0B42J,4,4,5,3
4/1/21 17:45,R_2fiFn2GHrAjegHp,1,2,5,
4/1/21 17:47,R_PvaVxqzB7LLr2ZH,1,2,2,
4/1/21 17:48,R_2SoYLuCmNf1qXZH,4,4,6,3
4/1/21 17:51,R_3h6C0aAxUQjKWpq,4,2,5,3
4/1/21 17:54,R_3GqWoABxLs108Mm,4,3,5,3
4/1/21 17:56,R_3m3PICLZQe2V30M,4,4,5,3
4/1/21 17:58,R_1BPYHEXqXpzQrF4,4,3,5,3
4/1/21 18:01,R_1d6acpwWtWazXn4,5,6,6,3
4/1/21 18:06,R_31gVXzZfP1E8jt5,4,3,6,3
4/1/21 18:13,R_21HhBV1aom1kJAf,4,4,7,3
4/1/21 18:13,R_2dYlw5sDImDGlDh,4,4,5,3
4/1/21 18:18,R_1oAtVClj88ciGJ5,5,4,4,3
4/1/21 18:25,R_3nHJnzI57xnvU85,4,3,5,3
4/1/21 18:25,R_3k0tdUXqe6KGMYD,3,3,2,7
4/1/21 18:25,R_237ALBnvAf5pVmB,3,3,2,
4/1/21 18:28,R_1reLBoqjoHG12if,3,3,5,3
4/1/21 18:39,R_1N4AOAhCL7HAkta,4,3,7,3
4/1/21 18:59,R_3hnI2jUe6r86vEr,1,1,3,3
4/1/21 19:12,R_22Gg8ZE5m4d0Xq6,3,3,5,
4/1/21 19:26,R_3mlZhp8KG6f1cOT,4,4,5,3
4/1/21 19:32,R_2OOaNpWXJgMudfh,2,2,5,3
4/1/21 19:33,R_3kNEmOhxU3UBaXn,4,3,6,3
4/1/21 19:39,R_2ZIxASRTrZcAdqg,3,3,5,5
4/1/21 20:16,R_3iUO77qbSOjlFrE,2,3,4,
4/1/21 20:19,R_2XdIA1A6PbXwrRH,1,1,2,
4/1/21 20:20,R_1LzLIXCuYBJDylp,4,4,7,0
4/1/21 20:23,R_3ozmuiafkrkhwbV,4,4,4,3
4/1/21 20:30,R_28ANVWHPp4HnZSs,4,3,2,49
4/1/21 20:43,R_3EGRs8P54EE9Zgz,1,1,5,3
4/1/21 20:47,R_31HNTAgymF4Fv1F,4,3,5,3
4/1/21 20:48,R_2VPDcnPNTWlayb9,5,4,5,-3
4/1/21 20:50,R_2CjMdL1DNhUcSBW,5,4,5,0.5
4/1/21 21:26,R_1rf4NhUrqtbtcYG,5,4,5,3
4/1/21 21:28,R_1FhxYFZphFXnxjq,5,4,6,3
4/1/21 21:35,R_3gawoTQCxMV3HBn,5,4,4,
4/1/21 21:40,R_snUcFmu1zdpuY13,2,3,5,
4/1/21 21:44,R_1dt8a8UAS2XXDC1,4,4,7,3
4/1/21 21:49,R_3nucstqbxeDiXaR,4,3,5,3
4/1/21 21:52,R_3NWDzvg84Gyjylr,4,3,2,-1
4/1/21 22:05,R_2b2TqLjaoVUaAUA,4,3,4,3
4/1/21 22:07,R_3fpm4mhtMbqiRr8,4,4,6,3
4/1/21 22:21,R_31EPhFMB9uqjerv,4,4,6,3
4/1/21 22:58,R_233TdVuxFCu5nM3,3,2,2,
4/1/21 23:20,R_usuRJDjcuet9zUd,4,4,4,
4/1/21 23:39,R_2y24UuU4fLkqCiF,1,2,2,3
4/1/21 23:39,R_1JR7BodWe4dQcyY,1,2,2,3
4/1/21 23:42,R_8HsvlHxQKF8dPOh,1,2,2,3
4/2/21 2:11,R_XLGMhdNRHNc4Og9,4,6,4,3
4/2/21 3:08,R_1C3cQsA2vjdMsnu,5,4,5,1
4/2/21 4:44,R_2foACVswG6Rly3u,4,3,5,5
4/2/21 5:30,R_BrdwMdetOWFCcpj,2,3,4,3
4/2/21 5:44,R_09s8OsyZcXwgoed,2,2,4,0
4/2/21 5:56,R_20UPGljCa1OesSz,1,3,3,1
4/2/21 5:56,R_payfjuX5wfwNYTn,1,3,4,3
4/2/21 6:39,R_3O8o4cF3XIalORD,2,2,5,-3
4/2/21 6:57,R_1i5vzW17BVnTgOk,4,3,5,3
4/2/21 7:05,R_3j9C2asEvAzblyE,3,2,3,12
4/2/21 7:24,R_1Ca2DYtNAzHxSFF,2,2,6,3
4/2/21 7:44,R_1kNwE4fyhgIAAyb,2,3,5,15
4/2/21 8:37,R_24iJJAzWF8rCrbY,2,2,6,1
4/2/21 8:50,R_2qyMS5e9LupxfJO,4,4,3,3
4/2/21 9:46,R_phZcSrO0kEdOAHT,3,3,7,3
4/2/21 9:47,R_1Cf1qR20ksKUQGj,3,3,7,3
4/2/21 10:05,R_1Qmx1Vlh4Wr5vJy,2,3,5,6
4/2/21 10:13,R_2PyS8PgquDCryAC,5,3,7,3
4/2/21 10:28,R_O86kPggnmWU2bcJ,4,3,5,3
4/2/21 10:31,R_1JQvFOO11vvXcFl,4,3,3,3
4/2/21 10:45,R_d6DBKqKYvYAX2QF,3,3,2,4
4/2/21 10:57,R_1gU9RLWAVA82nxk,3,3,5,3
4/2/21 11:12,R_2upsfw7QsooYuKo,4,3,4,0
4/2/21 11:46,R_3kH42bMQci6L5cj,3,3,4,-0.5
4/2/21 12:04,R_3oXtfPcI2OKBwo4,3,3,2,0.5
4/2/21 12:23,R_3J9N2dPXxq7Ubvz,5,4,5,3
4/2/21 13:14,R_1hAcjx8o3RHg1KK,4,4,6,3
4/2/21 14:02,R_3ML5XLrDmGJXelk,4,3,6,3
4/2/21 14:56,R_BFniTjXZFzz4Di9,3,3,5,
4/2/21 17:03,R_1rOJ2fTTuzRFe4O,2,2,6,3
4/2/21 18:04,R_3plFEGMfiGN0E9h,1,1,5,-0.5
4/2/21 18:11,R_1P6meNVg8BlLjk0,5,3,5,3
4/2/21 19:01,R_2duzeWTGIYJ2dCM,4,3,5,
4/2/21 19:02,R_2sTpDoEksmIgcDO,2,4,5,3
4/2/21 19:27,R_1DTD3u4sU2GmH68,4,3,6,3
4/2/21 20:31,R_1oaTiNW6wD6MBox,4,3,5,3
4/2/21 21:10,R_Rk2slcanoJ58eu5,2,3,4,3
4/2/21 21:11,R_2Y55pKFQbn1wv8O,1,2,4,
4/2/21 21:27,R_2ScT66JIAlFXscC,3,3,5,3
4/2/21 21:31,R_2U42L7sa6kTtKp6,5,4,5,3
4/2/21 21:38,R_BY8NGJnw21fzlIZ,1,2,3,3
4/2/21 22:02,R_2ZCDzAm7W0icJfl,2,2,2,
4/2/21 22:25,R_1hRX3jXBnkzHfoj,4,3,4,1
4/2/21 22:39,R_OxTkcuVRmeXXosN,5,3,3,3
4/2/21 23:08,R_2414YBOZxbjIp1e,4,3,5,
4/3/21 0:44,R_2Yajn31XVMnLPbK,2,4,5,3
4/3/21 1:54,R_3Eb3ISDJmx3AZdV,4,3,5,3
4/3/21 3:22,R_1ilcdRIFOtbFGPT,4,4,5,3
4/3/21 6:40,R_10TQrRPRtpTT9Fb,2,3,3,9
