RecordedDate,QualtricsResponseID,Q10,Q12,Q3,Q11
3/24/21 2:01,R_1mwm1sB5GeA15XY,4,3,5,
3/24/21 2:02,R_3O8KHJDB9Xbwz8Y,1,3,6,
3/24/21 2:02,R_2VgvkOTi0RVY4WM,3,3,5,
3/24/21 2:03,R_2y1O0BzZzFjMRm1,5,6,5,3
3/24/21 2:03,R_3PH7i9ZtnBUkVXG,3,3,5,
3/24/21 2:03,R_ZeEhryfYJ7fbwsN,2,3,4,
3/24/21 2:03,R_3dGoAWQOMxhJJhj,5,6,5,
3/24/21 2:04,R_3QJntdAUcKOxoqT,4,3,3,
3/24/21 2:06,R_wXiFe1Dq1IOK0Fj,5,6,5,3
3/24/21 2:09,R_Qn6UzMikhVJ5RV7,1,1,4,
3/24/21 2:11,R_DOc9bpufU9yytiN,2,4,3,2
3/24/21 2:11,R_3fuGxQ948pWZZYn,4,3,2,3
3/24/21 2:12,R_1C30GqJwvNYqdS8,4,4,3,3
3/24/21 2:13,R_BKxXvswBmdCeYpz,3,3,5,3
3/24/21 2:13,R_erhEp8E8IEotNcJ,3,2,7,3
3/24/21 2:17,R_2s544gkSq2f6RwY,3,3,3,
3/24/21 2:25,R_3jSUgT5OG93g6G8,1,2,6,
3/24/21 2:27,R_sOtNlyU9a4x4BCV,2,3,4,
3/24/21 2:29,R_3nPqTUo6CVx6Ugy,4,3,2,3
3/24/21 2:35,R_Pt7qRcFgZzd0n9T,3,3,2,
3/24/21 2:36,R_WdEdAWCuGWRsTER,4,3,3,3
3/24/21 2:38,R_2QMTKWdWFBIe4aW,3,3,4,
3/24/21 2:50,R_2uP0P3KQFxJv59G,2,3,4,3
3/24/21 2:52,R_1K6JiewXRg6rCU5,3,2,4,3
3/24/21 3:04,R_26nCkDxNdsHPbYm,3,3,5,3
3/24/21 3:05,R_1DO6UTqSp3MBBoM,3,3,2,
3/24/21 3:08,R_3HzWEswuua6c8X5,1,1,1,
3/24/21 3:13,R_1kN9cVHEcHYA4zD,3,3,2,3
3/24/21 3:14,R_3oFPHVfnkfIHXGY,2,3,4,
3/24/21 3:27,R_3EFEr64vdNoQ1uo,1,2,4,
3/24/21 3:44,R_3KN17Z3AxnhsAFc,4,3,5,3
3/24/21 3:48,R_AHX1dMkFfRrQ4Mh,3,3,5,3
3/24/21 3:51,R_1dtcD2T5I7VOroS,2,2,5,
3/24/21 3:53,R_p0Kfsadr96XbZK1,5,4,5,3
3/24/21 4:06,R_qUvVFYwUbPJCvJf,4,4,5,3
3/24/21 4:08,R_2QYeEaPXIlTkZLZ,2,2,5,4
3/24/21 4:14,R_2Yu1nnIA8ucxbVf,5,4,5,3
3/24/21 4:15,R_3EmMLOiouwcCm0C,4,4,5,3
3/24/21 4:16,R_2Yblp826ETbIQeI,2,3,5,4
3/24/21 4:18,R_esLO9gZurknXMAx,1,1,5,
3/24/21 4:20,R_oZvjTd8eEhhJ1g5,1,1,3,9
3/24/21 4:22,R_3DbURnRPbQ0iEm7,4,3,3,
3/24/21 4:23,R_3qqCFiHm1rfUWPH,4,4,6,
3/24/21 4:29,R_3PbjDwBup693zvc,3,4,7,3
3/24/21 4:33,R_r2NvDpI7kcFj6Tf,4,3,2,3
3/24/21 4:39,R_2pXoN6RLX7EYloE,1,2,5,4
3/24/21 4:48,R_1K46UHLq2GMb2NY,3,3,5,
3/24/21 4:49,R_9n6I5UUHoAy8zBf,3,4,4,10
3/24/21 4:53,R_2D5feVTeBF1HCrw,5,4,5,2
3/24/21 5:03,R_x5UxTzsdbcsF1C1,3,3,5,3
3/24/21 5:06,R_XvmMzt8UFGoaooh,1,2,5,3
